ticker,created,id,sent_score,sentiment
AVB,Thu Mar 31 13:01:26 +0000 2022,1.51E+18,-0.140740741,negative
BKR,Thu Mar 31 21:56:14 +0000 2022,1.51E+18,0,neutral
BLL,Thu Mar 31 12:00:28 +0000 2022,1.51E+18,-0.140740741,negative
BLL,Wed Mar 30 17:10:37 +0000 2022,1.51E+18,0.237121212,positive
BAC,Thu Mar 31 20:06:08 +0000 2022,1.51E+18,1,positive
BAC,Thu Mar 31 18:49:24 +0000 2022,1.51E+18,0.55,positive
BAC,Thu Mar 31 18:42:45 +0000 2022,1.51E+18,0,neutral
BAC,Thu Mar 31 18:22:38 +0000 2022,1.51E+18,0.275,positive
BAC,Thu Mar 31 18:20:14 +0000 2022,1.51E+18,0.275,positive
BAC,Thu Mar 31 18:08:20 +0000 2022,1.51E+18,0.275,positive
BAC,Thu Mar 31 17:18:32 +0000 2022,1.51E+18,0.275,positive
BAC,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
BAC,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
BAC,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
BBWI,Thu Mar 31 22:30:00 +0000 2022,1.51E+18,0.275,positive
BBWI,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
BBWI,Wed Mar 30 23:32:17 +0000 2022,1.51E+18,0.16,positive
BBWI,Wed Mar 30 14:35:05 +0000 2022,1.51E+18,0,neutral
BBWI,Wed Mar 30 14:35:05 +0000 2022,1.51E+18,0,neutral
BBWI,Wed Mar 30 14:35:05 +0000 2022,1.51E+18,0,neutral
BAX,Thu Mar 31 19:37:37 +0000 2022,1.51E+18,0.275,positive
BAX,Wed Mar 30 13:10:25 +0000 2022,1.51E+18,0,neutral
BDX,Thu Mar 31 23:59:23 +0000 2022,1.51E+18,0,neutral
BDX,Thu Mar 31 22:30:02 +0000 2022,1.51E+18,0.275,positive
BDX,Thu Mar 31 11:00:52 +0000 2022,1.51E+18,0,neutral
BDX,Thu Mar 31 10:51:56 +0000 2022,1.51E+18,0,neutral
BRK.B,Thu Mar 31 20:24:07 +0000 2022,1.51E+18,1,positive
BBY,Thu Mar 31 21:14:42 +0000 2022,1.51E+18,0.266666667,positive
BBY,Wed Mar 30 10:44:03 +0000 2022,1.51E+18,0,neutral
BIO,Wed Mar 30 14:56:12 +0000 2022,1.51E+18,0.16,positive
TECH,Wed Mar 30 11:20:30 +0000 2022,1.51E+18,0.16,positive
TECH,Wed Mar 30 10:00:36 +0000 2022,1.51E+18,-0.140740741,negative
BIIB,Thu Mar 31 00:40:07 +0000 2022,1.51E+18,0.136111111,positive
BIIB,Wed Mar 30 23:42:06 +0000 2022,1.51E+18,-0.2,negative
BIIB,Wed Mar 30 22:51:05 +0000 2022,1.51E+18,1,positive
BIIB,Wed Mar 30 22:37:25 +0000 2022,1.51E+18,0.106666667,positive
BIIB,Wed Mar 30 20:21:14 +0000 2022,1.51E+18,0,neutral
BIIB,Wed Mar 30 19:07:41 +0000 2022,1.51E+18,0.16,positive
BIIB,Wed Mar 30 17:33:06 +0000 2022,1.51E+18,1,positive
BIIB,Wed Mar 30 11:32:22 +0000 2022,1.51E+18,0,neutral
BLK,Thu Mar 31 20:18:09 +0000 2022,1.51E+18,1,positive
