ticker,change,volume
EXR,-0.016654682,706100
XOM,-0.01253277,22245760
FFIV,0.003383782,398860
FDS,0.00202322,347080
FAST,-0.006531559,3103200
FRT,-0.021273162,496060
FDX,-0.102954309,2785300
FITB,-0.06887984,6590640
FRC,-0.037344879,1072380
FE,0.018340615,4106020
FIS,0.025143546,3835940
FISV,0.011748551,2765140
FLT,0.025097909,516020
FMC,0.007004539,1343300
F,-0.083960667,63551380
FTNT,-0.000116919,839540
FTV,-0.036697289,2686500
FBHS,-0.039377141,2057360
FOXA,-0.036870941,3018940
FOX,-0.034754345,800220
BEN,-0.026065509,2600100
FCX,-0.033280793,12977720
AJG,0.006156456,853400
GRMN,-0.02701804,839220
IT,-0.013331087,549920
GE,-0.047367343,6272120
GNRC,0.015913368,700840
GD,-0.021160827,1212900
GIS,0.017957038,2850400
GPC,-0.014980985,895260
GILD,0.001508551,8299360
GL,-0.012438753,590800
GPN,0.013597986,1722980
GM,-0.084033679,15875980
GS,-0.034655398,2574000
GWW,-0.003438151,233740
HAL,-0.025700978,8901560
HIG,-0.027883508,1646720
HAS,0.006508912,1765920
HCA,-0.04451681,1494380
PEAK,-0.013781319,3263160
HSIC,-0.008081948,718100
HSY,0.008123747,955740
HES,-0.008566694,2168220
HPE,-0.085648173,8309800
HLT,-0.010447215,1672080
HOLX,0.012912554,1908660
HD,-0.011670901,6571560
HON,-0.014806088,2467020
HRL,0.014951465,1769820
HST,-0.046161569,7549160
HWM,-0.054610262,2260480
HPQ,-0.073120498,17825920
HUM,0.008716599,942400
HII,-0.010820441,367500
HBAN,-0.034922797,9726920
IEX,-0.016583868,555340
IDXX,-0.00663413,472380
ITW,-0.038339751,979260
ILMN,0.033518883,797440
INCY,0.012928314,1365000
IR,-0.046259813,3274860
INTC,-0.064164869,32894360
ICE,-0.02843325,2143820
IBM,-0.024521345,3365080
IP,-0.013149399,2409300
IPG,-0.047397248,2801860
IFF,-0.013794777,1059920
INTU,0.051064678,1934240
ISRG,-0.027985774,1833740
IVZ,-0.034585801,5668380
IPGP,-0.072083981,671500
IQV,0.030434001,1182500
IRM,-0.003425868,1873520
JBHT,-0.160864897,1715480
JKHY,0.032900769,484960
J,0.002221677,540220
JNJ,-0.011025089,7720000
JCI,-0.011940344,3788840
JPM,-0.051230947,14273400
JNPR,-0.034326792,5136200
K,0.026845657,1759020
KEY,-0.072142539,9922380
KEYS,-0.036440524,941060
KMB,0.010335073,1585400
KIM,-0.034000015,3704580
KMI,-0.00890519,16665280
KLAC,-0.075704932,1244020
KHC,0.0048223,4771780
KR,0.02270716,5528060
LHX,0.018386899,1042560
LH,-0.017657993,863500
LRCX,-0.081887092,1364300
LW,0.009544536,1433220
LVS,-0.04590163,4856200
LDOS,-0.011252548,777580
LEN,-0.062745082,3631060
LLY,0.008968835,2770380
LNC,-0.02149899,1042280
LIN,-0.011823617,1598880
LYV,-0.035241181,1571340
LKQ,-0.053666926,1620220
LMT,0.002892652,1592180
L,-0.034030209,741220
LOW,-0.022053608,5873840
LUMN,-0.00878738,9380920
LYB,-0.029232525,1911540
MTB,-0.049227888,4404480
MRO,-0.02745101,16702000
MPC,-0.007498528,5584760
MKTX,-0.113314684,490000
MAR,-0.013884936,1898900
MMC,-0.011056762,1951880
MLM,-0.023189715,344360
MAS,-0.048172442,2105940
MA,0.002981496,3151960
MTCH,-0.024927765,2054100
MKC,0.056857893,1971860
MCD,-0.002088119,2617380
MCK,-6.51E-05,1223360
MDT,-0.009501592,5333820
